station,datetime,PRCP,SNOW,SNWD,TMAX,TMIN,latitude,longitude,elevation
GHCND:US1WAAD0003,2024-04-01,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-02,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-03,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-04,0.01,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-05,0.13,,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-06,0.0,,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-07,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-08,0.0,,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-09,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-10,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-11,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-12,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-13,0.0,,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-14,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-15,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-16,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-17,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-18,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-19,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-20,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-21,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-22,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-23,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-24,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-25,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-26,0.01,,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-27,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-28,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-29,0.0,0.0,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0003,2024-04-30,0.01,,,,,46.811138,-119.154942,332.5
GHCND:US1WAAD0007,2024-04-01,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-02,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-05,,,0.0,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-06,0.36,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-07,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-08,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-09,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-10,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-11,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-12,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-13,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-14,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-15,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-16,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-17,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-18,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-19,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-20,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-21,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-22,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-28,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-29,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0007,2024-04-30,0.0,0.0,,,,47.12573,-118.372797,567.5
GHCND:US1WAAD0011,2024-04-01,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-02,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-03,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-04,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-05,0.24,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-06,0.47,0.5,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-07,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-08,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-09,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-10,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-11,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-12,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-13,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-14,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-15,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-16,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-17,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-18,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
GHCND:US1WAAD0011,2024-04-19,0.0,0.0,0.0,,,47.165523,-118.51653,569.1
